epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.7919,1.76735,3.333,1.74652,0.17692,0.33996,0.13465,0.07245,1.93277,3.10219,1.98749,0.000368353,0.000368353,0.000368353
2,106.858,1.83182,2.87051,1.73421,0.26742,0.25357,0.14204,0.07588,1.90863,3.12878,1.98625,0.000729545,0.000729545,0.000729545
3,149.665,1.83276,2.7464,1.72511,0.24847,0.32766,0.19293,0.10047,1.89789,2.69179,1.96504,0.00108157,0.00108157,0.00108157
4,190.455,1.82026,2.55618,1.69065,0.27319,0.35893,0.21127,0.10463,1.93448,2.69973,1.90225,0.00106975,0.00106975,0.00106975
5,230.668,1.78728,2.45594,1.6758,0.34151,0.26794,0.1853,0.09718,1.80389,2.99452,1.88069,0.00105601,0.00105601,0.00105601
6,271.105,1.75536,2.36827,1.65201,0.41787,0.37615,0.28961,0.15715,1.77822,2.20945,1.84228,0.00104226,0.00104226,0.00104226
7,312.1,1.72368,2.29624,1.63796,0.37037,0.31688,0.25972,0.14615,1.82963,2.25856,1.80637,0.00102851,0.00102851,0.00102851
8,352.622,1.6849,2.20593,1.60917,0.40912,0.39571,0.33363,0.18557,1.70697,2.07695,1.72021,0.00101476,0.00101476,0.00101476
9,392.909,1.68161,2.20068,1.62697,0.38869,0.37447,0.32367,0.18036,1.68447,2.06448,1.72348,0.00100101,0.00100101,0.00100101
10,434.633,1.64423,2.15229,1.60237,0.41457,0.37324,0.3092,0.17333,1.65988,2.12168,1.73912,0.000987262,0.000987262,0.000987262
11,475.058,1.64914,2.12165,1.59247,0.41769,0.42265,0.35973,0.19718,1.64589,1.94486,1.67166,0.000973514,0.000973514,0.000973514
12,515.327,1.61539,2.05844,1.59166,0.43241,0.41574,0.36438,0.18985,1.76119,2.0685,1.77396,0.000959765,0.000959765,0.000959765
13,555.528,1.63381,2.0723,1.58493,0.4367,0.35019,0.31416,0.17416,1.67744,2.07352,1.7177,0.000946016,0.000946016,0.000946016
14,596.288,1.62446,2.05427,1.59703,0.4528,0.42144,0.36909,0.2111,1.65414,1.92509,1.68414,0.000932268,0.000932268,0.000932268
