epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.9771,1.75526,1.97485,1.58991,0.68691,0.82748,0.79759,0.49804,1.17663,1.01431,1.21916,0.000366394,0.000366394,0.000366394
2,45.2066,1.21239,1.14416,1.21027,0.76139,0.88181,0.88448,0.58056,1.08793,0.78699,1.15388,0.00072761,0.00072761,0.00072761
3,67.8664,1.17024,1.09737,1.18139,0.87183,0.87536,0.92661,0.61926,1.09738,0.73081,1.14771,0.00107966,0.00107966,0.00107966
4,89.5488,1.18027,1.07598,1.19038,0.77485,0.83392,0.87631,0.57727,1.07393,0.84097,1.15686,0.00106975,0.00106975,0.00106975
5,111.202,1.11335,0.97457,1.15516,0.73812,0.8124,0.86189,0.59851,1.03983,0.77351,1.1262,0.00105601,0.00105601,0.00105601
6,131.714,1.13827,0.9557,1.16731,0.83229,0.88711,0.91374,0.63288,1.02681,0.67492,1.12301,0.00104226,0.00104226,0.00104226
7,153.204,1.10652,0.95972,1.14504,0.80489,0.91881,0.90758,0.61592,1.01741,0.69779,1.13492,0.00102851,0.00102851,0.00102851
8,174.608,1.08874,0.90609,1.13624,0.85704,0.85841,0.92244,0.62213,1.03323,0.68297,1.12896,0.00101476,0.00101476,0.00101476
9,194.823,1.07997,0.89066,1.13526,0.84033,0.85516,0.92189,0.63073,1.0277,0.70307,1.10974,0.00100101,0.00100101,0.00100101
10,216.247,1.07376,0.89075,1.13822,0.82193,0.91415,0.92264,0.63707,1.04588,0.68283,1.12523,0.000987262,0.000987262,0.000987262
11,237.228,1.05292,0.84421,1.11863,0.83443,0.87076,0.90782,0.64294,0.99814,0.65376,1.10667,0.000973514,0.000973514,0.000973514
12,257.829,1.03179,0.86655,1.1216,0.82594,0.89941,0.92743,0.64616,1.0327,0.65332,1.13973,0.000959765,0.000959765,0.000959765
13,279.023,1.03608,0.84649,1.1247,0.85054,0.87776,0.92915,0.63145,1.09109,0.66972,1.15659,0.000946016,0.000946016,0.000946016
14,299.268,1.06848,0.86527,1.1359,0.84792,0.8907,0.91948,0.63616,1.04642,0.63981,1.13514,0.000932268,0.000932268,0.000932268
15,320.631,1.05153,0.86608,1.13369,0.85146,0.8752,0.93432,0.65329,1.01237,0.60765,1.12032,0.000918519,0.000918519,0.000918519
16,340.839,1.02936,0.79438,1.11225,0.87091,0.90683,0.94456,0.65536,1.03697,0.60634,1.11032,0.000904771,0.000904771,0.000904771
17,363.529,1.01498,0.77587,1.10992,0.89419,0.80925,0.92507,0.65899,1.01378,0.66759,1.11111,0.000891022,0.000891022,0.000891022
18,384.991,1.02012,0.79874,1.11491,0.84765,0.90119,0.93509,0.67042,0.99411,0.65329,1.1153,0.000877273,0.000877273,0.000877273
19,405.315,1.03495,0.80678,1.11898,0.86903,0.90814,0.93925,0.64783,1.06861,0.66129,1.13489,0.000863525,0.000863525,0.000863525
20,426.475,1.02302,0.78398,1.11371,0.89321,0.84748,0.93446,0.66489,1.00769,0.63674,1.10263,0.000849776,0.000849776,0.000849776
21,447.059,1.02249,0.77509,1.10884,0.841,0.86711,0.93014,0.6493,1.01957,0.64564,1.11813,0.000836027,0.000836027,0.000836027
22,468.503,0.98832,0.73802,1.0998,0.81424,0.85932,0.91706,0.64291,1.04155,0.66696,1.11362,0.000822279,0.000822279,0.000822279
23,489.765,0.97645,0.75142,1.09114,0.87238,0.87292,0.94156,0.65791,1.00163,0.59645,1.11142,0.00080853,0.00080853,0.00080853
24,509.943,1.00118,0.75337,1.09982,0.85524,0.92305,0.94234,0.6702,1.06132,0.60657,1.13025,0.000794782,0.000794782,0.000794782
25,531.307,1.00624,0.74242,1.09315,0.88613,0.85742,0.93606,0.66318,1.02925,0.63367,1.1166,0.000781033,0.000781033,0.000781033
26,551.305,1.01908,0.75059,1.09943,0.84291,0.85008,0.92076,0.64695,1.04406,0.65725,1.12805,0.000767284,0.000767284,0.000767284
27,573.012,0.97113,0.7093,1.08386,0.84946,0.90091,0.93471,0.6437,1.09156,0.61828,1.13443,0.000753536,0.000753536,0.000753536
28,594.842,0.97239,0.72564,1.09554,0.90789,0.93564,0.95864,0.68125,1.02789,0.55689,1.11875,0.000739787,0.000739787,0.000739787
29,615.625,0.99394,0.7277,1.09776,0.86943,0.89756,0.94037,0.67114,0.99844,0.58412,1.12299,0.000726038,0.000726038,0.000726038
30,639.275,0.98158,0.70883,1.09887,0.85201,0.83294,0.91836,0.63893,1.06496,0.65146,1.13925,0.00071229,0.00071229,0.00071229
31,661.773,0.98468,0.73279,1.0853,0.90889,0.88825,0.95571,0.66716,1.0422,0.55497,1.12371,0.000698541,0.000698541,0.000698541
32,683.084,0.97674,0.70191,1.09667,0.90486,0.8967,0.95334,0.67996,0.98068,0.57249,1.10931,0.000684793,0.000684793,0.000684793
33,705.496,0.99075,0.70781,1.0934,0.86047,0.89437,0.93866,0.66425,1.02758,0.58547,1.10687,0.000671044,0.000671044,0.000671044
34,728.038,0.97188,0.70055,1.09447,0.83903,0.92201,0.95445,0.65571,1.07844,0.59919,1.13837,0.000657295,0.000657295,0.000657295
35,748.902,0.93222,0.67241,1.0753,0.88287,0.9046,0.94762,0.6729,0.98967,0.56259,1.10129,0.000643547,0.000643547,0.000643547
36,770.961,0.94033,0.65697,1.07557,0.87634,0.92887,0.95176,0.66742,1.04615,0.55316,1.11526,0.000629798,0.000629798,0.000629798
37,792.094,0.95264,0.67519,1.07869,0.83808,0.9098,0.93402,0.64827,1.01749,0.62832,1.13158,0.000616049,0.000616049,0.000616049
38,812.769,0.92247,0.65683,1.06974,0.82844,0.93829,0.94193,0.67485,0.97633,0.61018,1.10284,0.000602301,0.000602301,0.000602301
39,834.767,0.93949,0.64725,1.06912,0.92416,0.89235,0.96395,0.67659,1.022,0.53279,1.12717,0.000588552,0.000588552,0.000588552
40,855.775,0.91582,0.64609,1.07484,0.88142,0.88117,0.95057,0.68361,1.01002,0.54335,1.11448,0.000574804,0.000574804,0.000574804
41,878.2,0.92914,0.65813,1.06846,0.92281,0.91635,0.95638,0.67065,1.01798,0.53669,1.12728,0.000561055,0.000561055,0.000561055
42,901.886,0.91671,0.64727,1.06824,0.86799,0.90618,0.94277,0.66742,1.0272,0.54912,1.11828,0.000547306,0.000547306,0.000547306
43,924.754,0.91466,0.64603,1.06804,0.89487,0.88004,0.94014,0.66607,1.02801,0.5908,1.1229,0.000533558,0.000533558,0.000533558
44,945.738,0.9243,0.64896,1.07944,0.89876,0.90906,0.95552,0.68284,0.99714,0.52302,1.10308,0.000519809,0.000519809,0.000519809
45,968.173,0.93596,0.64584,1.07262,0.90293,0.89266,0.95861,0.68025,0.99706,0.53583,1.11144,0.00050606,0.00050606,0.00050606
46,990.025,0.90756,0.62359,1.06298,0.88516,0.91143,0.94741,0.68122,1.01527,0.54975,1.1121,0.000492312,0.000492312,0.000492312
47,1011.38,0.88675,0.60646,1.05209,0.89822,0.92097,0.95328,0.68472,1.01112,0.54001,1.11127,0.000478563,0.000478563,0.000478563
48,1033.66,0.89207,0.60356,1.06054,0.88622,0.85571,0.94256,0.67682,1.02449,0.56321,1.10692,0.000464815,0.000464815,0.000464815
49,1054.72,0.91969,0.64004,1.06393,0.90041,0.91913,0.95926,0.68118,0.98568,0.51183,1.10387,0.000451066,0.000451066,0.000451066
50,1076.28,0.88318,0.60137,1.05372,0.91621,0.9523,0.9696,0.68882,0.99056,0.48957,1.09889,0.000437317,0.000437317,0.000437317
51,1098.34,0.90324,0.6105,1.05694,0.83177,0.92795,0.94426,0.67205,0.99637,0.56195,1.11628,0.000423569,0.000423569,0.000423569
52,1119.03,0.87873,0.6129,1.04947,0.91085,0.92532,0.96321,0.68157,1.01483,0.49545,1.1055,0.00040982,0.00040982,0.00040982
53,1140.76,0.89459,0.6024,1.04558,0.92779,0.90126,0.95925,0.69533,1.03043,0.51273,1.10789,0.000396071,0.000396071,0.000396071
54,1162.39,0.88203,0.58473,1.05179,0.91925,0.92011,0.9656,0.69006,0.99719,0.49027,1.11156,0.000382323,0.000382323,0.000382323
55,1184.43,0.89356,0.60199,1.05681,0.93296,0.94239,0.96846,0.69824,0.97737,0.48058,1.1086,0.000368574,0.000368574,0.000368574
56,1206.12,0.86054,0.57343,1.04503,0.89801,0.93782,0.95917,0.68297,1.02096,0.51002,1.11945,0.000354826,0.000354826,0.000354826
57,1227.14,0.85715,0.57162,1.04079,0.89953,0.95081,0.95514,0.673,1.01941,0.50008,1.12379,0.000341077,0.000341077,0.000341077
58,1248.23,0.85823,0.57098,1.04171,0.92141,0.89764,0.95376,0.68049,1.02116,0.52153,1.12075,0.000327328,0.000327328,0.000327328
59,1269.91,0.85779,0.57508,1.03762,0.90171,0.94538,0.96322,0.67229,1.04195,0.50004,1.12054,0.00031358,0.00031358,0.00031358
60,1290.31,0.87697,0.56821,1.04847,0.91053,0.93498,0.96263,0.68663,1.0009,0.49281,1.11033,0.000299831,0.000299831,0.000299831
61,1312.02,0.83237,0.55721,1.02825,0.90838,0.93364,0.95979,0.68381,1.01316,0.49208,1.11,0.000286083,0.000286083,0.000286083
62,1332.78,0.85366,0.55479,1.04058,0.9035,0.93755,0.9571,0.6849,0.98621,0.49157,1.10241,0.000272334,0.000272334,0.000272334
63,1353.86,0.85613,0.54322,1.03591,0.92215,0.92629,0.96056,0.69337,0.97935,0.47237,1.09672,0.000258585,0.000258585,0.000258585
64,1375.62,0.84134,0.53883,1.03358,0.9136,0.92739,0.96055,0.68444,0.99965,0.48623,1.10656,0.000244837,0.000244837,0.000244837
